strain	subspecies	country	date	source	type
holarctica_LVS	holarctica	Russia	195X-XX-XX	water rat	B.13
tularensis_FSC198	tularensis	Slovakia	1986-XX-XX	unknown	A.I
holarctica_OSU18	holarctica	USA	1978-XX-XX	beaver	B.4
tularensis_WY96-3418	tularensis	USA	1996-XX-XX	human	A.II
holarctica_FTNF002-00	holarctica	France	2000-XX-XX	human	B.6
mediasiatica_FSC147	mediasiatica	Kazakhstan	1966-XX-XX	unknown	M.I
tularensis_NE061598	tularensis	USA	1998-XX-XX	human	A.I
tularensis_TIGB03	tularensis	USA	2004-XX-XX	cat	A.I
tularensis_TI0902	tularensis	USA	2004-XX-XX	cat	A.I
holarctica_F92	holarctica	Germany	2013-XX-XX	marmoset	B.6
